Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2,taxaIndicativa_diff,AnoTrimestre
724158,1599241,2023-07-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.7025,1.3629,1.508,"0,1","1,41","1,61","10456,160001","98,92","453,05",0,1900-01-01,0.3395999999999999,-1.1684,-0.5604000000000001,-0.0032,2023Q3
724933,1600791,2023-07-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.654,1.3415,1.5031,"0,08","1,42","1,58","10462,948925","98,94","452,26",0,1900-01-01,0.3125,-1.1906,-0.5875,-0.0048999999999999,2023Q3
725708,1602341,2023-07-19,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6478,1.335,1.4872,"0,08","1,41","1,57","10471,86124","98,97","451,11",0,1900-01-01,0.3127999999999999,-1.1744,-0.5872,-0.0159,2023Q3
726483,1603891,2023-07-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6551,1.3362,1.4863,"0,08","1,41","1,56","10478,006516","98,97","449,92",0,1900-01-01,0.3188999999999999,-1.1674,-0.5811000000000001,-0.0009000000000001,2023Q3
727258,1605441,2023-07-21,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6468,1.3232,1.4873,"0,12","1,37","1,61","10483,682811","98,97","449,23",0,1900-01-01,0.3236000000000001,-1.1637,-0.5763999999999999,0.0010000000000001,2023Q3
728032,1606989,2023-07-24,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6486,1.3251,1.4886,"0,12","1,37","1,61","10489,387043","98,97","448,21",0,1900-01-01,0.3235000000000001,-1.1650999999999998,-0.5764999999999999,0.0012999999999998,2023Q3
728806,1608537,2023-07-25,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6469,1.3233,1.488,"0,12","1,37","1,61","10495,379818","98,97","447,46",0,1900-01-01,0.3236000000000001,-1.1644,-0.5763999999999999,-0.0005999999999999,2023Q3
729580,1610104,2023-07-26,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6437,1.3181,1.4827,"0,08","1,4","1,56","10502,264924","98,98","446,6",0,1900-01-01,0.3255999999999999,-1.1571,-0.5744000000000001,-0.0053,2023Q3
730371,1611684,2023-07-27,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6423,1.319,1.4791,"0,08","1,4","1,56","10508,896567","98,99","445,5",0,1900-01-01,0.3233000000000001,-1.1558,-0.5766999999999999,-0.0035999999999998,2023Q3
731160,1613262,2023-07-28,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6247,1.3324,1.4781,"0,12","1,36","1,6","10515,058684",99,"444,38",0,1900-01-01,0.2923,-1.1858,-0.6077,-0.0010000000000001,2023Q3
731949,1614840,2023-07-31,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.625,1.3355,1.478,"0,13","1,34","1,61","10521,002066",99,"443,49",0,1900-01-01,0.2895000000000001,-1.1885,-0.6104999999999999,-9.9999999999989e-05,2023Q3
732738,1616418,2023-08-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6106,1.3078,1.4704,"0,09","1,38","1,56","10528,377964","99,01","442,35",0,1900-01-01,0.3027999999999999,-1.1676,-0.5972000000000001,-0.0076,2023Q3
733527,1617996,2023-08-02,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6027,1.2806,1.458,"0,07","1,38","1,53","10536,613614","99,04","441,27",0,1900-01-01,0.3221,-1.1359,-0.5779,-0.0123999999999999,2023Q3
734316,1619574,2023-08-03,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6,1.284,1.4462,"0,08","1,36","1,53","10544,586667","99,06","440,85",0,1900-01-01,0.316,-1.1302,-0.584,-0.0118,2023Q3
735105,1621152,2023-08-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.6012,1.2871,1.4423,"0,09","1,36","1,53","10551,076613","99,07","439,81",0,1900-01-01,0.3141,-1.1282,-0.5859,-0.0039,2023Q3
735894,1622730,2023-08-07,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.5705,1.267,1.4334,"0,09","1,34","1,53","10558,502088","99,09","438,65",0,1900-01-01,0.3035000000000001,-1.1299,-0.5964999999999999,-0.0088999999999999,2023Q3
736683,1624308,2023-08-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.588,1.2611,1.4303,"0,09","1,34","1,52","10564,782715","99,09","437,9",0,1900-01-01,0.3268999999999999,-1.1034,-0.5731,-0.0031000000000001,2023Q3
737472,1625886,2023-08-09,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.5475,1.2792,1.4632,"0,12","1,34","1,59","10564,623679","99,04","436,82",0,1900-01-01,0.2683000000000002,-1.1949,-0.6316999999999998,0.0329000000000001,2023Q3
738261,1627464,2023-08-10,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.5317,1.2671,1.4473,"0,15","1,3","1,6","10573,256108","99,07","435,95",35,1900-01-01,0.2646000000000001,-1.1827,-0.6353999999999999,-0.0159,2023Q3
739050,1631908,2023-08-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.547,1.2677,1.4171,"0,1","1,32","1,51","10584,457355","99,12","435,11",10,1900-01-01,0.2792999999999999,-1.1378,-0.6207000000000001,-0.0302,2023Q3
739839,1633486,2023-08-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.5108,1.2582,1.3774,"0,07","1,31","1,44","10597,45873","99,19","433,79",5,1900-01-01,0.2525999999999999,-1.1248,-0.6474000000000001,-0.0397,2023Q3
740628,1635063,2023-08-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.524,1.2393,1.372,"0,1","1,27","1,47","9914,623078","99,15","462,76",0,1900-01-01,0.2846999999999999,-1.0873000000000002,-0.6153000000000001,-0.0053999999999998,2023Q3
741416,1636639,2023-08-16,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4759,1.2102,1.3468,"0,08","1,27","1,43","9924,549753","99,19","461,73",0,1900-01-01,0.2657,-1.0811,-0.6343,-0.0252000000000001,2023Q3
742204,1638215,2023-08-17,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3956,1.2069,1.318,"0,09","1,23","1,41","9935,12757","99,25","460,62",0,1900-01-01,0.1886999999999998,-1.1293000000000002,-0.7113000000000002,-0.0287999999999999,2023Q3
742992,1639791,2023-08-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.407,1.1911,1.3065,"0,09","1,22","1,39","9942,569249","99,27","459,67",0,1900-01-01,0.2158999999999999,-1.0906,-0.6841,-0.0115,2023Q3
743780,1641367,2023-08-21,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.4147,1.1496,1.2811,"0,08","1,2","1,36","9952,533671","99,32","458,45",0,1900-01-01,0.2651000000000001,-1.0159999999999998,-0.6348999999999999,-0.0254,2023Q3
744568,1643003,2023-08-22,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3688,1.1679,1.2808,"0,06","1,22","1,34","9957,944357","99,32","457,63",35,1900-01-01,0.2009,-1.0799,-0.6990999999999999,-0.0002999999999999,2023Q3
745356,1645963,2023-08-23,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3792,1.1801,1.2884,"0,07","1,22","1,36","9961,938621","99,31","456,87",10,1900-01-01,0.1991,-1.0893,-0.7009,0.0076,2023Q3
746144,1647539,2023-08-24,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3684,1.164,1.2763,"0,05","1,23","1,33","9969,467218","99,33",456,5,1900-01-01,0.2044000000000001,-1.0719,-0.6955999999999999,-0.0121,2023Q3
746932,1649115,2023-08-25,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3553,1.1173,1.2485,"0,07","1,18","1,31","9979,850224","99,38","454,68",0,1900-01-01,0.238,-1.0105,-0.662,-0.0278,2023Q3
747720,1650710,2023-08-28,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3652,1.0723,1.2381,"0,09","1,15","1,32","9987,091184","99,4","453,63",0,1900-01-01,0.2928999999999999,-0.9452,-0.6071000000000001,-0.0103999999999999,2023Q3
748527,1652324,2023-08-29,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3668,1.0386,1.2235,"0,11","1,11","1,33","9995,046723","99,43","452,79",0,1900-01-01,0.3282,-0.8953,-0.5718,-0.0145999999999999,2023Q3
749334,1653938,2023-08-30,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3534,1.0361,1.2178,"0,09","1,13","1,31","10001,432801","99,44","451,85",0,1900-01-01,0.3172999999999999,-0.9005000000000001,-0.5827000000000001,-0.0057,2023Q3
750141,1655551,2023-08-31,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3703,1.0324,1.2303,"0,09","1,14","1,32","10004,645124","99,42","450,55",0,1900-01-01,0.3379000000000001,-0.8923999999999999,-0.5620999999999999,0.0124999999999999,2023Q3
750947,1657163,2023-09-01,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3682,1.0523,1.2275,"0,11","1,11","1,34","10010,550408","99,42","449,4",0,1900-01-01,0.3159,-0.9116,-0.5841,-0.0027999999999999,2023Q3
751753,1658775,2023-09-04,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3481,1.0457,1.2216,"0,07","1,15","1,29","10016,991274","99,44","448,34",0,1900-01-01,0.3024,-0.9192,-0.5976,-0.0059,2023Q3
752559,1660387,2023-09-05,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3377,1.045,1.2092,"0,11","1,09","1,32","10024,584802","99,46","447,2",0,1900-01-01,0.2926999999999999,-0.9165,-0.6073000000000001,-0.0123999999999999,2023Q3
753365,1662805,2023-09-06,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.361,1.0332,1.2088,"0,07","1,14","1,28","10030,038535","99,46","446,29",0,1900-01-01,0.3278000000000001,-0.881,-0.5721999999999999,-0.0003999999999999,2023Q3
754171,1664417,2023-09-08,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3365,1.0517,1.2114,"0,11","1,1","1,32","10034,962699","99,46","445,42",0,1900-01-01,0.2847999999999999,-0.9266,-0.6152000000000001,0.0025999999999999,2023Q3
754977,1666028,2023-09-11,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3421,1.0496,1.2106,"0,11","1,1","1,32","10040,488389","99,46","444,55",0,1900-01-01,0.2925,-0.9181,-0.6075,-0.0008000000000001,2023Q3
755782,1667638,2023-09-12,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.2962,1.0334,1.1881,"0,11","1,07","1,3","10049,801436","99,5","443,76",0,1900-01-01,0.2627999999999999,-0.9253,-0.6372000000000001,-0.0224999999999999,2023Q3
756586,1669246,2023-09-13,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3725,1.0116,1.217,"0,06","1,16","1,28","10050,14675","99,45","442,82",0,1900-01-01,0.3609,-0.8561000000000001,-0.5391,0.0289000000000001,2023Q3
757390,1670854,2023-09-14,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3605,1.0307,1.2072,"0,09","1,12","1,3","10057,27494","99,47","441,75",0,1900-01-01,0.3298000000000001,-0.8774,-0.5701999999999999,-0.0098,2023Q3
758193,1672460,2023-09-15,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3647,1.0167,1.2084,"0,09","1,12","1,3","10062,491108","99,47","440,63",0,1900-01-01,0.3480000000000001,-0.8603999999999998,-0.5519999999999999,0.0011999999999998,2023Q3
758996,1674066,2023-09-18,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3664,1.0151,1.2109,"0,09","1,12","1,3","10067,476815","99,46","439,58",0,1900-01-01,0.3513000000000001,-0.8595999999999999,-0.5486999999999999,0.0025000000000001,2023Q3
759799,1675672,2023-09-19,ALGA28,ALGAR TELECOM S/A,2026-02-18,0.9,di_spread,1.3314,1.0055,1.1755,"0,1","1,08","1,28","10079,050865","99,53","438,42",0,1900-01-01,0.3258999999999998,-0.8496000000000001,-0.5741000000000002,-0.0354000000000001,2023Q3
760602,1677278,2023-09-20,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3187,0.9979,1.1557,"0,11","1,05","1,26","10087,886223","99,56","437,46",0,1900-01-01,0.3208,-0.8349,-0.5792,-0.0198,2023Q3
761405,1678884,2023-09-21,ALGA28,ALGAR TELECOM S/A,2026-02-18,0.9,di_spread,1.2928,0.9743,1.1409,"0,11","1,04","1,25","10095,86964","99,59","436,28",0,1900-01-01,0.3184999999999999,-0.8224000000000001,-0.5815000000000001,-0.0147999999999999,2023Q3
762208,1680490,2023-09-22,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3096,0.9723,1.1434,"0,11","1,03","1,26","10100,663717","99,58","435,3",0,1900-01-01,0.3373,-0.8060999999999999,-0.5627,0.0024999999999999,2023Q3
763012,1682117,2023-09-25,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3182,0.9886,1.1453,"0,09","1,06","1,23","10105,582904","99,58","434,15",0,1900-01-01,0.3296,-0.8157,-0.5704,0.0019,2023Q3
763835,1683763,2023-09-26,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3158,0.9943,1.1501,"0,1","1,05","1,25","10110,024163","99,58","432,83",0,1900-01-01,0.3215000000000001,-0.8285999999999998,-0.5784999999999999,0.0047999999999999,2023Q3
764658,1685407,2023-09-27,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3035,0.9931,1.1429,"0,12","1,03","1,26","10116,546849","99,59","431,32",0,1900-01-01,0.3104000000000001,-0.8324999999999999,-0.5895999999999999,-0.0071999999999998,2023Q3
765479,1687048,2023-09-28,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.3035,0.9941,1.1392,"0,08","1,06","1,22","10122,433117","99,6","430,17",0,1900-01-01,0.3094000000000001,-0.8297999999999999,-0.5905999999999999,-0.0037,2023Q3
766299,1688688,2023-09-29,ALGA28,ALGAR TELECOM S/A,2026-02-15,0.9,di_spread,1.301,1.0261,1.1463,"0,06","1,08","1,21","10126,428346","99,59","429,52",0,1900-01-01,0.2748999999999999,-0.8714000000000002,-0.6251000000000001,0.0071000000000001,2023Q3
